Run, Fill, LumiDel, LumiRec, TimeDel, TimeRec
20269, 11044, 1.162, 1.160, 14654.000, 14549.095
20270, 11045, 20.218, 20.165, 30863.000, 30740.497
20272, 11047, 135.513, 134.857, 37571.000, 37349.101
20273, 11050, 111.332, 110.228, 12094.000, 11647.920
20276, 11053, 1013.269, 995.534, 53506.000, 52571.282
20278, 11055, 19.086, 18.808, 1562.000, 1479.239
20279, 11056, 957.964, 940.497, 47324.000, 46433.780
20280, 11057, 0.992, 0.976, 311.000, 72.959
20281, 11058, 954.524, 937.097, 47389.000, 46444.614
20282, 11059, 1021.907, 1003.561, 51871.000, 50924.199
20291, 11066, 157.492, 154.401, 7503.000, 7315.854
20292, 11067, 797.063, 781.999, 37855.000, 37065.288
20294, 11069, 840.173, 824.291, 39999.000, 39183.287
20296, 11071, 186.335, 182.766, 9384.000, 9098.533
20303, 11072, 116.296, 114.028, 5578.000, 5391.742
20307, 11076, 978.884, 960.734, 47054.000, 46149.099
20308, 11077, 444.857, 436.147, 20924.000, 20466.537
20315, 11079, 572.424, 561.123, 26899.000, 26207.055
20317, 11081, 205.023, 201.066, 10148.000, 9874.020
20374, 11085, 464.569, 455.525, 21814.000, 21342.648
20375, 11086, 660.105, 647.217, 30227.000, 29625.727
20377, 11088, 1018.122, 999.760, 49973.000, 49053.656
20378, 11089, 48.091, 47.240, 2855.000, 2745.623
20379, 11090, 223.075, 218.694, 10349.000, 10118.196
20380, 11091, 90.850, 89.213, 5246.000, 4785.624
20381, 11092, 961.411, 943.668, 46398.000, 45514.731
20383, 11094, 7.042, 6.925, 462.000, 396.685
20385, 11096, 1020.530, 1001.989, 50120.000, 49207.053
20401, 11098, 1021.954, 1003.221, 50193.000, 49276.115
20404, 11101, 956.636, 938.978, 47279.000, 46382.707
20405, 11102, 718.006, 703.970, 33162.000, 32472.899
20410, 11105, 915.160, 898.557, 45129.000, 44285.800
20411, 11106, 381.347, 373.857, 17609.000, 17216.624
20412, 11107, 461.036, 452.031, 21650.000, 21182.814
20413, 11108, 378.579, 371.190, 17398.000, 17027.058
20415, 11109, 1019.515, 1001.030, 51270.000, 50364.526
20416, 11110, 461.414, 452.236, 21528.000, 21009.100
20420, 11114, 978.602, 960.292, 47024.000, 46152.225
20422, 11116, 83.737, 82.102, 4293.000, 3886.648
20424, 11118, 496.145, 486.264, 22999.000, 22295.594
20425, 11119, 3.122, 3.070, 619.000, 189.901
20426, 11120, 61.957, 60.768, 3281.000, 2928.110
20427, 11121, 796.388, 780.994, 37279.000, 36534.691
20430, 11124, 959.345, 0.000, 45397.000, 0.000
20432, 11126, 953.673, 936.365, 47193.000, 46300.814
20462, 11128, 995.027, 977.667, 49418.000, 48527.480
20463, 11129, 947.974, 931.451, 47254.000, 46396.214
20464, 11130, 767.171, 752.813, 35632.000, 34867.447
20478, 11132, 984.664, 967.028, 47401.000, 46502.670
20479, 11133, 1001.331, 983.720, 49841.000, 48954.574
20480, 11134, 1009.466, 991.772, 49586.000, 48690.420
20481, 11135, 748.415, 734.350, 35037.000, 34331.357
20531, 11170, 383.248, 375.935, 18189.000, 17778.160
20532, 11171, 1101.524, 1083.242, 58306.000, 57340.164
20534, 11173, 281.999, 276.674, 13461.000, 13198.676
20549, 11176, 1100.718, 1081.182, 53632.000, 52670.284
20551, 11178, 1053.077, 1034.130, 50736.000, 49831.095
20552, 11179, 211.373, 207.395, 10295.000, 10064.490
